Location,ItemName,Type,Calories,FatCalories,TotalFat,SaturatedFat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,PercentCalFat,PercentSatFat
BurgerKing,Whopper,Beef,640,350,39,14,90,870,45,3,8,27,"54,6875","35,8974359"
BurgerKing,Whopperw/Cheese,Beef,730,410,46,30,115,1350,46,3,8,33,"56,1643836","65,2173913"
BurgerKing,DoubleWhopper,Beef,870,500,56,25,170,940,45,3,8,46,"57,4712644","44,6428571"
BurgerKing,DoubleWhopperw/Cheese,Beef,960,570,63,30,195,1420,46,3,8,52,"59,375","47,6190476"
BurgerKing,WhopperJr,Beef,420,220,24,7,60,530,29,2,5,21,"52,3809524","29,1666667"
BurgerKing,WhopperJrw/Cheese,Beef,460,250,28,9,75,770,29,2,5,23,"54,3478261","32,1428571"
BurgerKing,Hamburger,Beef,330,140,15,5,55,530,28,1,4,20,"42,4242424","33,3333333"
BurgerKing,Cheeseburger,Beef,380,170,19,8,65,770,28,1,5,23,"44,7368421","42,1052632"
BurgerKing,DoubleCheeseburger,Beef,600,320,36,15,135,1060,28,1,5,41,"53,3333333","41,6666667"
BurgerKing,DoubleCheeseburgerw/Bacon,Beef,640,350,39,17,145,1240,28,1,5,44,"54,6875","43,5897436"
BurgerKing,BKBigFish,Fish,700,370,41,15,90,980,56,3,4,26,"52,8571429","36,5853659"
BurgerKing,ChickenSandwich,Chicken,710,390,43,5,60,1400,54,2,4,26,"54,9295775","11,627907"
BurgerKing,ChickenTenders(8piece),Chicken,310,150,17,5,50,710,19,3,0,21,"48,3870968","29,4117647"
BurgerKing,GardenSaladnodressing,Salad,100,45,5,0,15,110,7,3,4,6,45,0
BurgerKing,FrenchFries(Med/Salted),Side,370,180,20,5,0,240,43,3,0,5,"48,6486486",25
BurgerKing,OnionRings,Side,310,130,14,4,0,810,41,6,6,4,"41,9354839","28,5714286"
BurgerKing,DutchApplePie,Dessert,300,140,15,3,0,230,39,2,22,3,"46,6666667",20
BurgerKing,Corissanwichw/SausageEggCheese,Breakfast,600,410,46,14,260,1140,25,1,3,22,"68,3333333","30,4347826"
BurgerKing,Biscuitw/Sausage,Breakfast,590,360,40,11,45,1390,41,1,2,16,"61,0169492","27,5"
BurgerKing,Biscuitw/BaconEggCheese,Breakfast,510,280,31,7,225,1530,39,1,3,19,"54,9019608","22,5806452"
BurgerKing,FrenchToastSticks,Breakfast,500,240,27,5,0,490,60,1,11,4,48,"18,5185185"
BurgerKing,HashBrowns,Side,220,110,12,4,0,320,25,2,0,2,50,"33,3333333"
McDonalds,Hamburger,Beef,280,90,10,4,30,590,35,2,7,12,"32,1428571",40
McDonalds,Cheeseburger,Beef,330,130,14,6,45,830,36,2,7,15,"39,3939394","42,8571429"
McDonalds,QuarterPounder,Beef,430,190,21,8,70,840,37,2,8,23,"44,1860465","38,0952381"
McDonalds,QuarterPounderwithCheese,Beef,530,270,30,13,95,1310,38,2,9,28,"50,9433962","43,3333333"
McDonalds,BigMac,Beef,590,310,34,11,85,1090,47,3,8,24,"52,5423729","32,3529412"
McDonalds,BigNTasty,Beef,540,290,32,10,80,970,39,2,10,24,"53,7037037","31,25"
McDonalds,BigNTastywithCheese,Beef,590,330,37,12,95,1210,40,2,10,27,"55,9322034","32,4324324"
McDonalds,CrispyChicken,Chicken,500,230,26,5,50,1100,46,2,6,22,46,"19,2307692"
McDonalds,FiletOFish,Fish,470,240,26,5,50,890,45,1,5,15,"51,0638298","19,2307692"
McDonalds,ChickenMcGrill,Chicken,400,160,17,3,60,890,37,2,6,25,40,"17,6470588"
McDonalds,ChickenMcGrill(plainw/omayo),Chicken,300,50,6,2,50,810,37,2,6,24,"16,6666667","33,3333333"
McDonalds,SmallFrenchFries,Side,210,90,10,2,0,135,26,2,0,3,"42,8571429",20
McDonalds,MediumFrenchFries,Side,450,200,22,4,0,290,27,5,0,6,"44,4444444","18,1818182"
McDonalds,LargeFrenchFries,Side,540,230,26,5,0,350,68,6,0,8,"42,5925926","19,2307692"
McDonalds,SuperSizeFrenchFries,Side,610,260,29,7,0,390,77,7,0,9,"42,6229508","24,137931"
McDonalds,ChickenMcNuggets(4piece),Chicken,210,120,13,3,35,460,12,1,0,10,"57,1428571","23,0769231"
McDonalds,ChickenMcNuggets(6piece),Chicken,310,180,20,4,50,680,18,2,0,15,"58,0645161",20
McDonalds,ChickenMcNuggets(9piece),Chicken,460,260,29,6,75,1020,27,2,0,22,"56,5217391","20,6896552"
KFC,OriginalRecipeWholeWing,Chicken,145,80,9,3,60,370,5,0,0,11,"55,1724138","33,3333333"
KFC,OriginalRecipeBreast,Chicken,370,180,19,6,145,1145,11,0,0,40,"48,6486486","31,5789474"
KFC,OriginalRecipeDrumstick,Chicken,140,70,8,2,75,440,4,0,0,14,50,25
KFC,OriginalRecipeThigh,Chicken,360,220,25,7,165,1060,12,0,0,22,"61,1111111",28
KFC,ExtraCrispyWholeWing,Chicken,190,110,12,4,55,390,10,0,0,10,"57,8947368","33,3333333"
KFC,ExtraCrispyBreast,Chicken,470,250,28,8,135,1230,19,0,0,34,"53,1914894","28,5714286"
KFC,ExtraCrispyDrumstick,Chicken,160,90,10,3,70,415,5,0,0,12,"56,25",30
KFC,ExtraCrispyThigh,Chicken,370,240,26,7,120,710,12,0,0,21,"64,8648649","26,9230769"
KFC,HotSpicyWholeWing,Chicken,180,100,11,3,60,420,9,0,0,11,"55,5555556","27,2727273"
KFC,HotSpicyBreast,Chicken,450,240,27,8,130,1450,20,0,0,33,"53,3333333","29,6296296"
KFC,HotSpicyDrumstick,Chicken,140,80,9,3,65,380,4,0,0,13,"57,1428571","33,3333333"
KFC,HotSpicyThigh,Chicken,390,250,28,8,125,1240,14,0,0,22,"64,1025641","28,5714286"
KFC,OriginalRecipew/sauceSandwich,Chicken,450,240,27,5,60,1010,22,0,0,29,"53,3333333","18,5185185"
KFC,TripleCrunchw/sauceSandwich,Chicken,560,330,37,8,70,865,29,1,0,28,"58,9285714","21,6216216"
KFC,TripleCrunchZingerw/sauceSandwich,Chicken,640,360,40,8,405,920,38,1,2,32,"56,25",20
KFC,TenderRoastw/sauceSandwich,Chicken,400,170,19,3,65,820,24,1,0,31,"42,5","15,7894737"
KFC,HoneyBBQFlavoredSandwich,Chicken,300,60,6,1,50,780,40,1,15,21,20,"16,6666667"
KFC,TwisterSandwich,Chicken,670,340,38,7,60,1650,55,3,7,27,"50,7462687","18,4210526"
KFC,BlazinTwisterSandwich,Chicken,719,377,43,12,70,1986,56,4,4,30,"52,433936","27,9069767"
KFC,CrispyCaesarTwisterSandwich,Chicken,744,357,41,9,55,1616,66,5,4,27,"47,983871","21,9512195"
KFC,HoneyBBQCrunchMeltSandwich,Chicken,556,235,26,5,60,1010,48,2,7,33,"42,2661871","19,2307692"
KFC,ColonelsCrispyStrips(3),Chicken,400,210,24,5,75,1250,17,0,0,29,"52,5","20,8333333"
KFC,SpicyCrispyStrips(3),Chicken,335,140,15,4,70,1140,23,0,0,25,"41,7910448","26,6666667"
KFC,HoneyBBQStrips(3),Chicken,377,139,15,4,45,1709,33,4,12,27,"36,8700265","26,6666667"
KFC,BlazinStrips(3),Chicken,315,128,16,4,56,1541,21,1,1,26,"40,6349206",25
KFC,PopcornChickenKids,Chicken,280,160,18,4,30,640,16,0,0,12,"57,1428571","22,2222222"
KFC,PopcornChickenIndividual,Chicken,450,207,30,7,50,1030,25,0,0,19,46,"23,3333333"
KFC,PopcornChickenLarge,Chicken,660,400,44,10,75,1530,37,0,0,29,"60,6060606","22,7272727"
KFC,ChunckyChickenPotPie(afterbaking),Chicken,830,430,48,13,105,2230,69,2,5,30,"51,8072289","27,0833333"
KFC,HotWingsPieces(6),Chicken,460,270,30,8,125,820,22,0,0,25,"58,6956522","26,6666667"
